,category,system,instruction,context,question,response
1375,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,"During the summer vacation, the group of friends decided to explore the countryside. They rented bicycles and spent the whole day riding through winding paths, crossing small wooden bridges, and stopping occasionally to enjoy the peaceful scenery of green fields and distant hills.","Garmi ko bida ma, saathi haru ko samuha le gau ghumne nirdai garyo. Uniharu le cycle bhada ma liye ra purai din ghumaune bato ma cycle chalayera, sano kather ko pool parera ra kahi kahi parkhera hariyo khet ra taadako pahad ko shaant drishya herera bitaye."
1376,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Festive sales ma up to 70% off available cha. Refund ko lagi order cancel bhaepachi process start huncha. Shipping charge ko lagi orders Rs. 500 bhanda mathi free delivery huncha. Gift card purchase ko lagi 'Gift Cards' section ma januhos.,Festive sale ko discount kasto cha?,Festive sales ma up to 70% off available cha.
1377,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko prasiddha trek route Langtang Valley ho, jo Kathmandu se anek din ka duri ma sthit cha. Langtang Valley, trekking aur adventure ko liye prasiddha ho.",Nepal ko prasiddha trek route k ho?,"Langtang Valley, Nepal ko prasiddha trek route ho."
1378,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,World ma sabai bhanda famous bird migration kun ho?,Arctic Tern.
1379,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko prasiddha traditional attire Daura Suruwal ho, jo purano Nepali dress ho. Daura Suruwal, purano samay ma raja haru ra aristocrats le pehenncha.",Nepal ko prasiddha traditional attire k ho?,"Daura Suruwal, Nepal ko prasiddha traditional attire ho."
1380,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko ek prasiddha wildlife park Bardia National Park ho, jo far western Nepal ma sthit cha. Bardia, rhinos, tigers, ra elephants ko liye prasiddha park ho.",Nepal ko ek prasiddha wildlife park k ho?,"Bardia National Park, Nepal ko ek prasiddha wildlife park ho."
1381,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,sajha ko chai ekdam ramro scene thiyo. suryasta herda purai peaceful lagyo.,The evening had such a beautiful view. Watching the sunset felt so peaceful.
1382,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Hamro karyakram kati dami chaliracha!,Our event is going so well!
1383,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Timro idea ko implementation dherai ramro cha.,The implementation of your idea is very good.
1384,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Platform ma musical instruments jasari guitars, keyboards, ra drums available cha. Delivery timing 5-8 din samma ho, ra sabai instruments warranty sanga aauchha. Repair services authorized centers ma available cha.",Guitar ko repair service authorized center ko details kasari pauna sakchhu?,Guitar ko repair service authorized center details invoice ma ya customer support bata pauna sakchhu.
1385,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma sabai bhanda purano dhunga ko seti pool kun ho?,Pashupatinath Pool.
1386,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Return request reject bhaye, customer support lai samparka garnuhos ra detail inquiry garnuhos. Discounts festive sales ma available cha. Refund process cancel confirm bhaepachi suru huncha.","Return request reject bhayo, aba ke garne?","Return request reject bhaye, customer support lai samparka garnuhos ra detail inquiry garnuhos."
1387,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Dinner quick ra healthy kasari prepare garne?,"Quick ra healthy dinner prepare garna pre-cut vegetables, boiled lentils, ani simple spices ko use garnu ramro huncha. Stir-fry vegetables ra brown rice ko combination healthy huncha. Soup jastai lentil ya chicken soup prepare garna fast ani nutritious huncha. Grilled chicken/paneer ra fresh salad rakhera balanced meal serve garne. Cooking time save garna meal planning important cha."
1388,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali topi kasari banaune?,"Nepali topi banauna khas Nepali dhaka kapada cut garera, hat ko size ma fit huney jasto design garera silai garna parcha."
1389,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Maile testo sochya thiyein.,I was thinking like that.
1390,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Google Translate le neural machine translation use garera multiple languages ko data process garera translation accuracy improve garincha. Abaadi model continuous learning ma raheko cha.,Google Translate ma language model kasari improve garincha?,Google Translate neural machine learning le language model improve garincha.
1391,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","golbhenda, aalu, tama, haati","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Haati khane kura hoina, aru tinwota khane kura hun."
1392,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Computer science bhaneko ke ho bhanera lekhnu.,"Computer science bhaneko computer ko technology, programming, ra system ko adhyayan ho. Aba coding garera ramailo app ra software banaucha."
1393,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Dherai productivity ka lagi samaya kasari byabasthit garne?,"Dherai productivity ka lagi task list banau, priority dinuhos, time-blocking method use garera focus garera kaam garnuhos."
1394,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,Ek teenager le bike tour ma entire country explore garcha. Aba usko journey stories le social media ma inspiration spread garcha.,Teenager ko bike tour journey le social media ma inspiration spread garcha.
1395,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko samajik sanstha haru manavi hakko samrakshan ra samudaayik kalyan ko lagi kaam garincha. Nepali NGO haru chha, jo samajik sudhar garne kaam garchhan.",Nepal ko samajik sanstha ko parichay?,Nepal ko samajik sanstha haru manavi hakko samrakshan ra samudaayik kalyan ko lagi kaam garincha.
1396,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko ek prasiddha lake Rara Lake ho, jo Mugu jilla ma sthit cha. Rara Lake, Nepal ko sabse thulo jheel ho, ra yahaan ko shanti aur prakritik drishya paryatak haru ko aakarshan ho.",Nepal ko ek prasiddha lake k ho?,"Rara Lake, Nepal ko ek prasiddha lake ho."
1397,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,"kina ta aba sabai jana ko timing mismatch bhae jasto lagcha? padhai ko routine ta ekdam tight cha, tara friends sanga ta bhetne time pani milcha jasto lagdaina.","Why does it feel like everyone's timing is mismatched now? My study routine is really tight, and I feel like I won't even get time to meet friends."
1398,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The chef prepared a special dish using locally sourced ingredients that everyone loved.,"Chef le local saman le ekdam special dish banayo, jun sabai lai dami lagyo."
1399,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko sabai bhanda moti udyog krishi ho, jaha dhan, makai, ra jhola haru ko upaj dherai matra ma garincha. Krishi udyog le Nepal ko arthik roop ma pramukh yogdan garne cha, jaha loktantrik garib ra samriddhi ko saath, Nepal ko gramin jeevan ko sudhar garincha. Nepal ko ek anek aabashyak krishi sansadhan haru, jaha jeevan ko ek mahatvapurn hissa ho, arthik samriddhi ko ek adhar ho.",Nepal ko sabai bhanda moti udyog k ho?,"Krishi, Nepal ko sabai bhanda moti udyog ho, jaha dhan, makai ra anek aur krishi utpadan ko safalta Nepal ko arthik vyavastha ko ek mahatvapurn kendra ho."
1400,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The shopkeeper greeted every customer with a warm smile.,Shopkeeper har ek customer lai ramro muskan le swagat garcha.
1401,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Pokhara ko Lakeside ma ek modern electronics shop cha, jaha latest gadgets ra mobile phones haru available cha. Lakeside ko road ko kinara ma located cha ra yaha ko atmosphere peaceful cha.",Pokhara ko Lakeside ma ko shop cha?,"Pokhara ko Lakeside ma ek modern electronics shop cha, jaha latest gadgets ra mobile phones available cha."
